日期,氣候變遷減緩知識,氣候正效益,淨負排放,碳匯,碳權,碳抵銷,土地利用、國土規劃,氣候危機,氣候變遷,聖嬰、反聖嬰,災害風險,平時減災,災害管理、災害應變、救災應變,災後復原,環境治理,綠建築,極端氣候、氣候異常,熱浪
2011/1/1,0,0,0,0,8,0,11,0,39,54,0,0,10,0,0,84,9,6
2011/2/1,0,0,0,0,0,0,19,0,25,36,0,0,0,0,0,54,0,0
2011/3/1,0,0,0,0,9,0,8,0,29,37,0,0,13,0,0,61,0,0
2011/4/1,0,0,0,0,0,0,11,0,39,32,0,0,16,0,0,100,0,10
2011/5/1,0,0,0,14,9,0,7,0,13,23,0,0,15,0,0,91,0,12
2011/6/1,0,0,0,9,0,0,6,0,22,30,0,0,7,0,0,83,0,14
2011/7/1,0,0,0,0,0,0,27,0,13,7,0,0,18,0,0,72,18,18
2011/8/1,0,0,0,0,4,0,11,0,12,4,0,0,19,0,0,63,0,26
2011/9/1,0,0,0,0,6,0,15,0,23,16,0,0,15,0,0,46,0,19
2011/10/1,0,0,0,0,12,0,6,0,27,30,0,0,13,0,0,66,4,5
2011/11/1,0,0,0,6,4,0,11,0,37,25,0,0,6,0,0,80,7,4
2011/12/1,0,0,0,0,0,0,21,0,33,25,0,0,0,0,0,88,4,0
2012/1/1,0,0,0,0,8,0,10,0,18,15,0,0,10,0,0,61,0,17
2012/2/1,0,0,0,0,0,0,0,0,23,14,0,0,4,0,0,56,0,4
2012/3/1,0,0,0,5,6,0,15,0,22,17,0,0,13,0,0,70,7,7
2012/4/1,0,0,0,0,4,0,10,0,21,25,0,0,4,0,0,89,0,3
2012/5/1,0,0,0,0,4,0,15,0,25,10,0,0,12,0,0,77,3,11
2012/6/1,0,0,0,0,0,0,7,0,19,23,0,0,50,0,0,66,2,11
2012/7/1,0,0,0,2,5,0,0,0,9,7,0,0,4,0,0,72,4,32
2012/8/1,0,0,0,0,0,0,6,0,12,23,0,0,26,0,0,52,3,18
2012/9/1,0,0,0,6,0,0,6,0,18,14,0,0,10,0,0,49,0,18
2012/10/1,0,0,0,2,0,0,9,0,19,10,0,0,12,0,0,56,3,11
2012/11/1,0,0,0,5,4,0,12,0,22,15,0,0,6,0,0,66,5,12
2012/12/1,0,0,0,0,3,0,10,0,25,17,0,0,6,0,0,71,2,3
2013/1/1,0,0,0,0,4,0,15,0,27,16,0,0,2,0,0,59,3,8
2013/2/1,0,0,0,3,0,0,8,0,13,24,0,0,4,0,0,34,6,5
2013/3/1,0,0,0,0,5,0,10,0,17,11,0,0,3,0,0,65,3,18
2013/4/1,0,0,0,3,3,0,9,0,19,19,0,0,7,0,0,80,2,16
2013/5/1,0,0,0,0,2,0,6,0,18,17,0,0,7,0,0,69,2,11
2013/6/1,0,0,0,2,5,0,15,0,21,22,0,0,4,0,0,64,0,13
2013/7/1,0,0,0,3,3,0,9,0,11,13,0,0,33,0,0,48,4,20
2013/8/1,0,0,0,0,2,0,4,0,11,11,0,0,32,0,0,40,0,13
2013/9/1,0,0,0,0,2,0,7,0,15,3,0,0,17,0,0,51,0,7
2013/10/1,0,0,0,4,0,0,8,0,23,12,0,0,9,0,0,67,3,11
2013/11/1,0,0,0,2,0,0,5,0,21,14,0,0,5,0,0,58,6,9
2013/12/1,0,0,0,2,0,0,13,0,23,12,0,0,2,0,0,63,2,11
2014/1/1,0,0,0,4,5,0,5,0,16,15,0,0,3,0,0,51,5,11
2014/2/1,0,0,0,3,2,0,2,0,13,6,0,0,5,0,0,38,7,13
2014/3/1,0,0,0,1,5,0,12,0,22,20,0,0,7,0,0,49,4,16
2014/4/1,0,0,0,0,0,0,5,0,23,21,0,0,8,0,0,74,5,4
2014/5/1,0,0,0,2,2,0,4,0,21,37,0,0,6,0,0,68,4,10
2014/6/1,0,0,0,0,0,0,7,0,19,40,0,0,10,0,0,67,5,11
2014/7/1,0,0,0,2,1,0,9,0,8,32,0,0,12,0,0,39,2,15
2014/8/1,0,0,0,0,3,0,6,0,10,17,0,0,22,0,0,36,2,13
2014/9/1,0,0,0,3,3,0,10,0,16,13,0,0,12,0,0,43,0,8
2014/10/1,0,0,0,2,0,0,10,0,17,19,0,0,3,0,0,43,3,9
2014/11/1,0,0,0,0,2,0,10,0,19,20,0,0,7,0,0,56,3,16
2014/12/1,0,0,0,0,1,0,11,0,15,20,0,0,6,0,0,53,6,11
2015/1/1,0,0,0,0,0,0,9,0,14,20,0,0,6,0,0,43,2,11
2015/2/1,0,0,0,0,1,0,2,0,6,13,0,0,6,0,0,27,0,18
2015/3/1,0,0,0,0,2,0,4,0,10,25,0,0,11,0,0,42,4,15
2015/4/1,0,0,0,0,1,0,8,0,17,19,0,0,11,0,0,51,2,15
2015/5/1,0,0,0,0,4,0,6,0,16,33,0,0,12,0,0,61,3,20
2015/6/1,0,0,0,4,3,0,5,0,19,36,0,0,8,0,0,58,2,17
2015/7/1,0,0,0,0,2,0,7,0,7,49,0,0,11,0,0,38,1,31
2015/8/1,0,0,0,0,1,0,4,0,10,28,0,0,27,0,0,29,3,31
2015/9/1,0,0,0,0,0,0,4,0,15,39,0,0,15,0,0,36,3,25
2015/10/1,0,0,0,0,2,0,7,0,17,21,0,0,8,0,0,42,0,25
2015/11/1,0,0,0,0,3,0,8,0,24,61,0,0,6,0,0,47,7,23
2015/12/1,0,0,0,2,2,0,7,0,26,35,0,0,5,0,0,54,0,24
2016/1/1,0,0,0,1,1,0,6,0,15,43,0,0,5,0,0,30,8,14
2016/2/1,0,0,0,2,1,0,13,0,11,16,0,0,34,0,0,24,3,18
2016/3/1,0,0,0,2,0,0,8,0,16,25,0,0,5,0,0,34,5,21
2016/4/1,0,0,0,0,0,0,7,0,22,35,0,0,8,0,0,42,7,28
2016/5/1,0,0,0,0,2,0,7,0,18,27,0,0,7,0,0,44,2,34
2016/6/1,0,0,0,1,3,0,9,0,15,45,0,0,5,0,0,34,5,27
2016/7/1,0,0,0,0,1,0,8,0,9,18,0,0,13,0,0,26,3,40
2016/8/1,0,0,0,0,2,0,2,0,4,15,0,0,5,0,0,29,2,22
2016/9/1,0,0,0,0,1,0,11,0,9,16,0,0,33,0,0,35,2,23
2016/10/1,0,0,0,0,0,0,11,0,16,29,0,0,6,0,0,41,5,18
2016/11/1,0,0,0,2,5,0,12,0,18,25,0,0,5,0,0,44,6,17
2016/12/1,0,0,0,2,1,0,6,0,20,21,0,0,8,0,0,40,5,21
2017/1/1,0,0,0,0,0,0,8,0,13,16,0,0,3,0,0,34,3,25
2017/2/1,0,0,0,2,0,0,8,0,12,10,0,0,6,0,0,26,0,33
2017/3/1,0,0,0,0,2,0,10,0,18,15,0,0,8,0,0,35,3,29
2017/4/1,0,0,0,1,0,0,3,0,26,21,0,0,5,0,0,41,5,30
2017/5/1,0,0,0,2,1,0,10,0,16,15,0,0,6,0,0,36,5,38
2017/6/1,0,0,0,4,3,0,11,0,21,21,0,0,19,0,0,47,5,38
2017/7/1,0,0,0,2,1,0,5,0,10,6,0,0,11,0,0,34,1,42
2017/8/1,0,0,0,1,3,0,5,0,7,2,0,0,9,0,0,33,3,39
2017/9/1,0,0,0,0,1,0,9,0,12,11,0,0,9,0,0,29,3,38
2017/10/1,0,0,0,0,2,0,11,0,20,14,0,0,6,0,0,28,4,29
2017/11/1,0,0,0,0,1,0,8,0,18,15,0,0,6,0,0,32,7,25
2017/12/1,0,0,0,0,3,0,6,0,18,20,0,0,4,0,0,31,3,26
2018/1/1,0,0,0,1,2,0,7,0,20,20,0,0,6,0,0,23,4,35
2018/2/1,0,0,0,0,2,0,3,0,9,12,0,0,10,0,0,23,5,33
2018/3/1,0,0,0,2,2,0,9,0,16,10,0,0,5,0,0,29,2,32
2018/4/1,0,0,0,1,0,0,5,0,16,17,0,0,11,0,0,28,3,34
2018/5/1,0,0,0,2,3,0,6,0,18,15,0,0,5,0,0,30,5,41
2018/6/1,0,0,0,0,1,0,9,0,18,13,0,0,7,0,0,38,6,37
2018/7/1,0,0,0,0,2,0,9,0,10,14,0,0,9,0,0,27,6,56
2018/8/1,0,0,0,0,1,0,7,0,10,7,0,0,12,0,0,26,1,40
2018/9/1,0,0,0,1,0,0,4,0,12,13,0,0,9,0,0,33,4,35
2018/10/1,0,0,0,1,2,0,8,0,15,9,0,0,3,0,0,35,5,24
2018/11/1,0,0,0,0,1,0,8,0,16,17,0,0,3,0,0,29,4,17
2018/12/1,0,0,0,1,3,0,2,0,17,15,0,0,0,0,0,30,0,35
2019/1/1,0,0,0,0,3,0,5,0,14,17,0,0,5,0,0,22,2,31
2019/2/1,0,0,0,0,1,0,5,0,10,10,0,0,3,0,0,18,4,36
2019/3/1,0,0,0,2,3,0,7,0,15,13,0,0,3,0,0,23,3,26
2019/4/1,0,0,0,0,0,0,7,0,18,18,0,0,7,0,0,30,2,30
2019/5/1,0,0,0,0,1,0,7,0,18,16,0,0,9,0,0,38,6,34
2019/6/1,0,0,0,1,0,0,9,0,13,7,0,0,6,0,0,27,2,41
2019/7/1,0,0,0,0,2,0,7,0,9,6,0,0,8,0,0,28,2,56
2019/8/1,0,0,0,1,0,0,6,0,9,9,0,0,18,0,0,26,2,29
2019/9/1,0,0,0,0,0,0,6,0,20,6,0,0,9,0,0,28,1,30
2019/10/1,0,0,0,0,2,0,8,0,18,14,0,0,6,0,0,29,3,27
2019/11/1,0,0,0,1,2,0,8,0,18,12,0,0,4,0,0,33,3,24
2019/12/1,0,0,0,0,0,0,7,0,20,14,0,0,4,0,0,29,6,26
2020/1/1,0,0,0,0,0,0,5,0,17,17,0,0,6,0,0,17,3,27
2020/2/1,0,0,0,2,2,0,3,0,14,7,0,0,6,0,0,19,5,22
2020/3/1,0,0,0,0,2,0,6,0,19,12,0,0,7,0,0,25,5,19
2020/4/1,0,0,0,2,0,0,11,0,24,11,0,0,9,0,0,35,8,16
2020/5/1,0,0,0,1,3,0,8,0,22,17,0,0,8,0,0,32,5,31
2020/6/1,0,0,0,0,2,0,7,0,20,14,0,0,6,0,0,38,3,34
2020/7/1,0,0,0,2,2,0,6,0,14,20,0,0,4,0,0,30,6,38
2020/8/1,0,0,0,3,3,0,6,0,15,13,0,0,7,0,0,31,4,35
2020/9/1,0,0,0,0,3,0,12,0,14,13,0,0,8,0,0,34,1,25
2020/10/1,0,0,0,2,3,0,13,0,17,18,0,0,6,0,0,25,5,29
2020/11/1,0,0,0,0,4,0,11,0,16,17,0,0,8,0,0,28,2,23
2020/12/1,0,0,0,2,5,0,11,0,20,22,0,0,4,0,0,30,3,32
2021/1/1,0,0,0,1,3,0,9,0,21,26,0,0,6,0,0,22,3,30
2021/2/1,0,0,0,2,6,0,3,0,12,4,0,0,3,0,0,21,2,27
2021/3/1,0,0,0,1,7,0,7,0,24,16,0,0,5,0,0,29,2,23
2021/4/1,0,0,0,0,21,0,5,0,23,15,0,0,8,0,0,27,6,28
2021/5/1,0,0,0,0,17,0,7,0,21,18,0,0,17,0,0,24,3,21
2021/6/1,0,0,0,0,28,0,8,0,20,24,0,0,14,0,0,37,6,28
2021/7/1,0,0,0,2,21,0,6,0,9,9,0,0,8,0,0,20,4,37
2021/8/1,0,0,0,0,14,0,8,0,18,7,0,0,9,0,0,23,7,22
2021/9/1,0,0,0,2,14,0,8,0,21,11,0,0,9,0,0,27,7,20
2021/10/1,0,0,0,2,12,0,11,0,28,85,0,0,7,0,0,27,4,21
2021/11/1,0,0,0,1,16,0,15,0,34,31,0,0,7,0,0,33,8,26
2021/12/1,0,0,0,4,20,0,9,0,29,20,0,0,3,0,0,30,6,29
