日期,風險溝通,氣候災害、天然災害,強降雨,水災、水患,暴雨,乾旱、旱災、缺水,水資源、水資源安全,水資源再利用,灌溉用水,工業用水,家庭用水,需水量,水庫,地下水,超抽地下水
2011/1/1,0,0.6,0,1.6,0.6,0.6,0.6,0,0,0,0,0,1,0.6,0
2011/2/1,0,0.6,0.6,1.2,0.6,1.2,0.6,0,0,0.6,0,0,1,0.6,0.6
2011/3/1,0,0.6,0,1.6,0.6,1.2,0.6,0,0,0,0,0,1,0.6,0
2011/4/1,0,0.6,0,0.6,0.6,1.2,0.6,0,0,0,0,0,2,0.6,0
2011/5/1,0,0.6,0,1.2,0.6,1.2,1,0,0,0.6,0,0,6,0.6,0.6
2011/6/1,0,0.6,0,1.2,0.6,1.2,0.6,0,0,0.6,0,0,3,0.6,0
2011/7/1,0,0.6,0,1.2,0.6,0.6,0.6,0,0,0,0,0,2,0.6,0
2011/8/1,0,0.6,0.6,1.2,0.6,1.2,0.6,0,0,0.6,0,0,2,0.6,0
2011/9/1,0,0.6,0.6,1.2,0.6,1.2,0.6,0,0,0.6,0,0,2,0.6,0.6
2011/10/1,0,0.6,0,2.6,0.6,0.6,0.6,0,0,0,0,0,2,0.6,0.6
2011/11/1,0,0,0.6,1.6,0.6,1.2,0.6,0,0,0.6,0,0,2,0.6,0
2011/12/1,0,0.6,0,1,0.6,1.8,0.6,0,0,0,0,0,2,0.6,0
2012/1/1,0,0.6,0.6,1.2,0.6,0.6,0.6,0,0,0,0,0,1,0.6,0.6
2012/2/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0,0,0,1,0.6,0
2012/3/1,0,0.6,0.6,0.6,0.6,1.2,0.6,0,0,0,0,0,1,0.6,0.6
2012/4/1,0,0,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,2,0.6,0
2012/5/1,0,0.6,0,0.6,0.6,1.8,0.6,0,0,0,0,0,2,0.6,0.6
2012/6/1,0,1,0.6,1.6,0.6,1.2,0.6,0,0,0.6,0,0,2,0.6,0
2012/7/1,0,0.6,0.6,1.2,0.6,1.2,0.6,0,0,0,0,0,1,0.6,0
2012/8/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0,0,0,2,0.6,0
2012/9/1,0,0.6,0,1.2,0.6,1.2,0.6,0,0,0,0,0,1,0.6,0
2012/10/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,2,0.6,0.6
2012/11/1,0,0.6,0,0.6,0.6,1.2,0.6,0,0,0,0,0,2,0.6,0
2012/12/1,0,0.6,0.6,0.6,0.6,1.8,0.6,0,0,0.6,0,0,2,0.6,0.6
2013/1/1,0,0.6,0,0.6,0.6,1.2,0.6,0,0,0,0,0,1,0.6,0
2013/2/1,0,0.6,0,0.6,0.6,1.2,0.6,0,0,0,0,0,2,0.6,0
2013/3/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,2,0.6,0.6
2013/4/1,0,0.6,0,1.2,0.6,1.2,0.6,0,0,0.6,0,0,4,0.6,0
2013/5/1,0,0.6,0.6,1.2,0.6,1.8,0.6,0,0,0.6,0,0,3,0.6,0
2013/6/1,0,0.6,0,1.2,0.6,0.6,0.6,0,0,0,0,0,2,0.6,0.6
2013/7/1,0,0.6,0,0.6,0.6,1.8,0.6,0,0,0,0,0,2,0.6,0
2013/8/1,0,0.6,0,1.2,0.6,1.2,0.6,0,0,0.6,0,0,2,0.6,0
2013/9/1,0,0.6,0.6,1.2,0.6,1.8,0.6,0,0,0,0,0,2,0.6,0.6
2013/10/1,0,0.6,0,1.2,0.6,1.2,0.6,0,0,0,0,0,2,0.6,0
2013/11/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,2,0.6,0
2013/12/1,0,0,0,1.2,0.6,1.8,0.6,0,0,0,0,0,2,0.6,0.6
2014/1/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,1,0.6,0
2014/2/1,0,0,0,1.2,0.6,1.2,0.6,0,0,0,0,0,2,0.6,0
2014/3/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0,0,0,2,0.6,0.6
2014/4/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0,0,0,2,0.6,0
2014/5/1,0,0,0.6,1.2,0.6,1.8,0.6,0,0,0.6,0,0,2,0.6,0
2014/6/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,2,0.6,0
2014/7/1,0,0.6,0,0.6,0.6,1.2,0.6,0,0,0.6,0,0,2,0.6,0
2014/8/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,2,0.6,0
2014/9/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,2,0.6,0
2014/10/1,0,0.6,0,1.2,0.6,1.2,0.6,0,0,0,0,0,2,0.6,0
2014/11/1,0,0.6,0,0.6,0.6,1.8,0.6,0,0,0,0,0,2,0.6,0
2014/12/1,0,0.6,0,0.6,0.6,1.8,0.6,0,0,0.6,0,0,2,0.6,0.6
2015/1/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,2,0.6,0
2015/2/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0,0,0,3,0.6,0
2015/3/1,0,0.6,0.6,1.2,0.6,2.2,1,0,0,0.6,0,0,11,0.6,0
2015/4/1,0,0.6,0.6,1.2,0.6,2.2,1,0,0,0.6,0,0,11,0.6,0.6
2015/5/1,0,0.6,0.6,1.2,0.6,1.8,1,0,0,0.6,0,0,23,0.6,0.6
2015/6/1,0,0.6,0,0.6,0.6,1.8,0.6,0,0,0.6,0,0,6,0.6,0
2015/7/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,6,0.6,0
2015/8/1,0,0.6,0.6,1.2,0.6,1.8,0.6,0,0,0,0,0,5,0.6,0
2015/9/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,3,0.6,0.6
2015/10/1,0,0.6,0.6,1.2,0.6,1.8,0.6,0,0,0,0,0,2,0.6,0
2015/11/1,0,0.6,0,0.6,0.6,1.8,0.6,0,0,0,0,0,2,0.6,0
2015/12/1,0,0.6,0,0.6,0.6,1.8,0.6,0,0,0,0,0,3,0.6,0.6
2016/1/1,0,0.6,0.6,1.2,0.6,1.2,0.6,0,0,0.6,0,0,3,0.6,0
2016/2/1,0,0.6,0.6,0.6,0.6,1.2,0.6,0,0,0.6,0,0,2,0.6,0
2016/3/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0,0,0,2,0.6,0.6
2016/4/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0,0,0,2,0.6,0
2016/5/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,2,0.6,0
2016/6/1,0,0.6,0.6,1.2,0.6,1.8,0.6,0,0,0.6,0,0,3,0.6,0.6
2016/7/1,0,0.6,0,1.2,0.6,1.2,0.6,0,0,0.6,0,0,3,0.6,0
2016/8/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,2,0.6,0
2016/9/1,0,0.6,0.6,0.6,0.6,1.8,0.6,0,0,0,0,0,3,0.6,0.6
2016/10/1,0,0.6,0,0.6,0.6,1.8,0.6,0,0,0.6,0,0,2,0.6,0
2016/11/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,2,0.6,0.6
2016/12/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0,0,0,2,0.6,0.6
2017/1/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,2,0.6,0.6
2017/2/1,0,0.6,0.6,0.6,0.6,1.8,0.6,0,0,0.6,0,0,4,0.6,0
2017/3/1,0,0.6,0,0.6,0.6,1.2,0.6,0,0,0.6,0,0,5,0.6,0
2017/4/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,5,0.6,0
2017/5/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0,0,0,5,0.6,0
2017/6/1,0,0.6,0.6,1,1,1.8,0.6,0,0,0.6,0,0,8,0.6,0.6
2017/7/1,0,0.6,0.6,1.2,0.6,1.8,0.6,0,0,0.6,0,0,3,0.6,0.6
2017/8/1,0,0.6,0,1.2,0.6,1.2,0.6,0,0,0.6,0,0,2,0.6,0.6
2017/9/1,0,0.6,0,0.6,0.6,1.8,0.6,0,0,0,0,0,2,0.6,0.6
2017/10/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0,0,0,5,0.6,0.6
2017/11/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0,0,0,2,0.6,0
2017/12/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0,0,0,2,0.6,0
2018/1/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0,0,0,3,0.6,0
2018/2/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,2,0.6,0.6
2018/3/1,0,0.6,0,0.6,0.6,1.8,0.6,0,0,0.6,0,0,2,0.6,0
2018/4/1,0,0.6,0.6,1.2,0.6,1.8,0.6,0,0,0.6,0,0,3,0.6,0
2018/5/1,0,0.6,0,0.6,0.6,1.8,0.6,0,0,0,0,0,4,0.6,0
2018/6/1,0,0.6,0.6,1.2,0.6,1.2,1,0,0,0.6,0,0,17,0.6,0
2018/7/1,0,0.6,0.6,1.6,0.6,1.8,0.6,0,0,0.6,0,0,13,0.6,0
2018/8/1,0,0.6,0,1.6,0.6,1.8,0.6,0,0,0.6,0,0,7,0.6,0
2018/9/1,0,0.6,0.6,1.6,0.6,1.8,0.6,0,0,0.6,0,0,4,0.6,0.6
2018/10/1,0,0.6,0.6,1.2,0.6,1.8,0.6,0,0,0.6,0,0,3,0.6,0.6
2018/11/1,0,0.6,0.6,1.2,0.6,1.8,0.6,0,0,0,0,0,2,0.6,0.6
2018/12/1,0,0.6,0,1.2,0.6,1.2,0.6,0,0,0,0,0,2,0.6,0
2019/1/1,0,0.6,0,0.6,0.6,1.2,0.6,0,0,0.6,0,0,2,0.6,0
2019/2/1,0,0.6,0,1.2,0.6,1.2,0.6,0,0,0.6,0,0,3,0.6,0
2019/3/1,0,0.6,0.6,1.2,0.6,1.8,0.6,0,0,0,0,0,6,0.6,0.6
2019/4/1,0,0.6,0.6,1.2,0.6,1.8,0.6,0,0,0.6,0,0,4,0.6,0
2019/5/1,0,0.6,0.6,1.2,0.6,1.8,0.6,0,0,0,0,0,8,0.6,0.6
2019/6/1,0,0.6,0.6,1.2,0.6,1.8,0.6,0,0,0.6,0,0,6,0.6,0.6
2019/7/1,0,0.6,0.6,1.2,0.6,1.8,0.6,0,0,0,0,0,4,0.6,0
2019/8/1,0,0.6,0.6,1.2,0.6,1.2,0.6,0,0,0.6,0,0,3,0.6,0
2019/9/1,0,0.6,0,1.2,0.6,1.2,0.6,0,0,0.6,0,0,3,0.6,0
2019/10/1,0,0.6,0,1.2,0.6,1.2,0.6,0,0,0.6,0,0,2,0.6,0.6
2019/11/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,2,0.6,0
2019/12/1,0,0.6,0,0.6,0.6,1.8,0.6,0,0,0,0,0,2,0.6,0.6
2020/1/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,2,0.6,0
2020/2/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0,0,0,2,0.6,0.6
2020/3/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0,0,0,4,0.6,0.6
2020/4/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,4,0.6,0
2020/5/1,0,0.6,0.6,1.2,0.6,1.8,0.6,0,0,0,0,0,20,0.6,0.6
2020/6/1,0,0.6,0.6,1.6,0.6,1.2,0.6,0,0,0,0,0,8,0.6,0.6
2020/7/1,0,0.6,0.6,1.6,0.6,1.8,0.6,0,0,0.6,0,0,4,0.6,0.6
2020/8/1,0,0.6,0.6,1.2,0.6,1.8,0.6,0,0,0,0,0,7,0.6,0.6
2020/9/1,0,0.6,0.6,0.6,0.6,1.8,0.6,0,0,0,0,0,6,0.6,0
2020/10/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,8,0.6,0.6
2020/11/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,7,0.6,0
2020/12/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0,0,0,9,0.6,0.6
2021/1/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,4,0.6,0.6
2021/2/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,4,0.6,0
2021/3/1,0,0.6,0.6,1.2,0.6,2.2,0.6,0,0,0.6,0,0,12,0.6,0
2021/4/1,0,0.6,0,1.2,0.6,2.2,1,0,0,0.6,0,0,21,1,0.6
2021/5/1,0,0.6,0.6,1.2,0.6,2.2,1,0,0,0.6,0,0,45,0.6,0.6
2021/6/1,0,0.6,0.6,1.2,0.6,2.2,1,0,0,0.6,0,0,100,0.6,0.6
2021/7/1,0,0.6,0.6,1.6,0.6,1.8,1,0,0,0.6,0,0,33,0.6,0.6
2021/8/1,0,0.6,0.6,1.6,0.6,1.8,0.6,0,0,0,0,0,23,0.6,0
2021/9/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0,0,0,6,0.6,0
2021/10/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0,0,0,5,0.6,0
2021/11/1,0,0.6,0,0.6,0.6,1.2,0.6,0,0,0.6,0,0,4,0.6,0.6
2021/12/1,0,0.6,0,1.2,0.6,1.8,0.6,0,0,0.6,0,0,4,0.6,0.6
