日期,網際網路治理,跨國電信犯罪 ,網路犯罪,資訊犯罪,電腦犯罪,網路詐欺、網路詐騙,解除分期付款,網路購物、網路拍賣, 網路交易犯罪 ,妨礙電腦使用
2011/1/1,0,0,5,0,0,6,0,47,0,3
2011/2/1,0,0,4,0,3,3,0,61,0,7
2011/3/1,0,0,4,0,0,0,0,68,0,3
2011/4/1,0,0,0,0,2,8,0,90,0,5
2011/5/1,0,0,5,0,0,6,0,71,0,0
2011/6/1,0,0,4,0,0,7,0,78,0,0
2011/7/1,0,0,8,0,0,3,0,79,0,0
2011/8/1,0,0,6,0,2,3,0,73,0,0
2011/9/1,0,0,3,0,0,9,0,82,0,0
2011/10/1,0,0,6,0,4,0,0,75,0,0
2011/11/1,0,0,5,0,0,11,0,61,0,0
2011/12/1,0,0,5,0,0,7,0,67,0,4
2012/1/1,0,0,3,0,3,6,0,50,0,0
2012/2/1,0,0,4,0,2,9,0,45,0,2
2012/3/1,0,0,4,0,6,5,0,51,0,4
2012/4/1,0,0,0,0,0,5,0,48,0,0
2012/5/1,0,0,3,0,0,12,0,100,0,0
2012/6/1,0,0,0,0,0,2,0,135,0,0
2012/7/1,0,0,1,0,0,5,0,49,0,0
2012/8/1,0,0,1,0,2,7,0,50,0,0
2012/9/1,0,0,2,0,3,9,0,47,0,0
2012/10/1,0,0,3,0,2,7,0,48,0,0
2012/11/1,0,0,3,0,2,8,0,54,0,2
2012/12/1,0,0,7,0,0,4,0,54,0,0
2013/1/1,0,0,0,0,0,4,0,77,0,0
2013/2/1,0,0,2,0,2,3,0,49,0,0
2013/3/1,0,0,4,0,1,5,0,48,0,0
2013/4/1,0,0,4,0,0,5,0,64,0,2
2013/5/1,0,0,1,0,3,7,0,64,0,0
2013/6/1,0,0,4,0,3,5,0,72,0,2
2013/7/1,0,0,2,0,2,5,0,57,0,1
2013/8/1,0,0,0,0,0,3,0,56,0,2
2013/9/1,0,0,0,0,0,3,0,48,0,0
2013/10/1,0,0,2,0,1,2,0,56,0,0
2013/11/1,0,0,2,0,0,4,0,49,0,1
2013/12/1,0,0,3,0,2,9,0,63,0,0
2014/1/1,0,0,4,0,3,9,0,62,0,0
2014/2/1,0,0,1,0,1,4,0,51,0,0
2014/3/1,0,0,3,0,1,8,0,51,0,2
2014/4/1,0,0,4,0,0,8,0,53,0,0
2014/5/1,0,0,5,0,2,12,0,51,0,0
2014/6/1,0,0,5,0,1,8,0,55,0,0
2014/7/1,0,0,2,0,0,5,0,47,0,0
2014/8/1,0,0,3,0,0,7,0,47,0,0
2014/9/1,0,0,2,0,1,6,0,52,0,2
2014/10/1,0,0,4,0,0,4,0,56,0,0
2014/11/1,0,0,3,0,1,6,0,64,0,1
2014/12/1,0,0,3,0,1,6,0,60,0,0
2015/1/1,0,0,3,0,1,5,0,54,0,0
2015/2/1,0,0,0,0,1,2,0,48,0,0
2015/3/1,0,0,6,0,1,6,0,58,0,0
2015/4/1,0,0,5,0,2,7,0,46,0,1
2015/5/1,0,0,6,0,0,7,0,48,0,2
2015/6/1,0,0,2,0,0,6,0,48,0,0
2015/7/1,0,0,3,0,0,6,0,45,0,1
2015/8/1,0,0,1,0,0,8,0,57,0,1
2015/9/1,0,0,2,0,1,6,0,49,0,0
2015/10/1,0,0,2,0,0,11,0,59,0,1
2015/11/1,0,0,5,0,1,7,0,56,0,1
2015/12/1,0,0,4,0,0,10,0,56,0,1
2016/1/1,0,0,9,0,1,6,0,65,0,0
2016/2/1,0,0,4,0,0,8,0,54,0,1
2016/3/1,0,0,1,0,0,8,0,83,0,0
2016/4/1,0,0,3,0,2,9,0,88,0,1
2016/5/1,0,0,3,0,0,8,0,60,0,1
2016/6/1,0,0,1,0,1,6,0,53,0,0
2016/7/1,0,0,1,0,0,7,0,50,0,0
2016/8/1,0,0,4,0,1,6,0,48,0,0
2016/9/1,0,0,1,0,1,6,0,50,0,0
2016/10/1,0,0,3,0,1,5,0,55,0,0
2016/11/1,0,0,2,0,1,8,0,52,0,1
2016/12/1,0,0,4,0,0,11,0,54,0,0
2017/1/1,0,0,4,0,0,6,0,56,0,0
2017/2/1,0,0,3,0,0,7,0,46,0,0
2017/3/1,0,0,2,0,1,7,0,51,0,1
2017/4/1,0,0,2,0,0,9,0,50,0,1
2017/5/1,0,0,4,0,1,9,0,41,0,4
2017/6/1,0,0,1,0,0,8,0,49,0,1
2017/7/1,0,0,1,0,1,7,0,45,0,1
2017/8/1,0,0,2,0,0,8,0,44,0,1
2017/9/1,0,0,1,0,0,7,0,44,0,2
2017/10/1,0,0,2,0,1,7,0,46,0,0
2017/11/1,0,0,2,0,0,7,0,52,0,0
2017/12/1,0,0,1,0,0,6,0,47,0,0
2018/1/1,0,0,3,0,1,9,0,41,0,0
2018/2/1,0,0,0,0,1,6,0,33,0,0
2018/3/1,0,0,1,0,0,7,0,38,0,1
2018/4/1,0,0,3,0,0,6,0,44,0,0
2018/5/1,0,0,2,0,0,6,0,41,0,0
2018/6/1,0,0,2,0,1,6,0,34,0,1
2018/7/1,0,0,2,0,1,6,0,32,0,0
2018/8/1,0,0,2,0,1,6,0,32,0,1
2018/9/1,0,0,2,0,1,8,0,45,0,1
2018/10/1,0,0,2,0,1,9,0,33,0,1
2018/11/1,0,0,1,0,0,8,0,52,0,1
2018/12/1,0,0,2,0,0,9,0,50,0,1
2019/1/1,0,0,2,0,1,5,0,53,0,0
2019/2/1,0,0,0,0,2,7,0,40,0,0
2019/3/1,0,0,8,0,0.6,10,0,45,0,0
2019/4/1,0,0,5,0,1,9,0,32,0,1
2019/5/1,0,0,4,0,1,9,0,33,0,1
2019/6/1,0,0,2,0,1,6,0,30,0,0
2019/7/1,0,0,2,0,0,9,0,34,0,1
2019/8/1,0,0,2,0,1,8,0,33,0,2
2019/9/1,0,0,2,0,0.6,7,0,31,0,1
2019/10/1,0,0,1,0,0,10,0,35,0,1
2019/11/1,0,0,2,0,1,7,0,35,0,0
2019/12/1,0,0,3,0,1,7,0,31,0,0
2020/1/1,0,0,1,0,1,7,0,29,0,0.6
2020/2/1,0,0,0.6,0,0,6,0,47,0,0
2020/3/1,0,0,3,0,1,10,0,38,0,1
2020/4/1,0,0,3,0,0.6,11,0,34,0,1
2020/5/1,0,0,2,0,1,8,0,32,0,1
2020/6/1,0,0,2,0,1,8,0,36,0,1
2020/7/1,0,0,2,0,1,9,0,37,0,1
2020/8/1,0,0,1,0,0,11,0,32,0,1
2020/9/1,0,0,1,0,1,10,0,30,0,1
2020/10/1,0,0,2,0,0.6,11,0,26,0,0
2020/11/1,0,0,0,0,1,12,0,32,0,0
2020/12/1,0,0,2,0,1,11,0,30,0,0
2021/1/1,0,0,2,0,0,10,0,27,0,1
2021/2/1,0,0,1,0,0,12,0,24,0,1
2021/3/1,0,0,3,0,0,9,0,24,0,1
2021/4/1,0,0,2,0,0.6,14,0,23,0,0
2021/5/1,0,0,1,0,0,10,0,37,0,0
2021/6/1,0,0,3,0,1,13,0,44,0,0
2021/7/1,0,0,2,0,1,12,0,28,0,0
2021/8/1,0,0,1,0,1,15,0,25,0,0.6
2021/9/1,0,0,0,0,1,14,0,26,0,1
2021/10/1,0,0,3,0,0,15,0,28,0,1
2021/11/1,0,0,2,0,0,14,0,27,0,1
2021/12/1,0,0,2,0,1,12,0,24,0,1
