日期,長照、長期照顧、長期照護,長期照護機構、長期照顧機構、長照安養機構、安養中心,長照保險、長期照顧保險,健康產業,外籍看護,全民健保、二代健保、健保,長照離職,照護喘息、喘息服務,家庭托顧
2011/1/1,2.6,1,0,0.6,1,42,0,0,0
2011/2/1,2.6,2,0.6,0,0.6,32,0,0,0
2011/3/1,3,2.6,1.6,0,0.6,36,0,0.6,0.6
2011/4/1,4,2,0,0.6,0.6,31,0,0,0
2011/5/1,3.6,2.6,0,0.6,1,37,0,0,0.6
2011/6/1,4,1.6,0,1,0.6,27,0,0,0
2011/7/1,2.6,1,0.6,0.6,0.6,28,0,0.6,0.6
2011/8/1,3,1.6,0,0.6,0,28,0,0,0
2011/9/1,2.6,1.6,0,0.6,0.6,28.6,0,0,0.6
2011/10/1,3,1.6,0,0.6,0.6,26,0,0.6,0
2011/11/1,3,1,0,0.6,0.6,28,0,0.6,0
2011/12/1,3,1.6,0.6,0.6,0.6,30,0,0,0.6
2012/1/1,3,1,0.6,0,0.6,28,0,0,0
2012/2/1,3,1,1.2,0.6,0.6,29,0,0,0.6
2012/3/1,3,1.6,0.6,0.6,0.6,35,0,0,0.6
2012/4/1,3,1.6,0.6,0.6,0.6,34,0,0,0
2012/5/1,2.6,1.6,1.2,0.6,0.6,34,0,0,0
2012/6/1,3,1,1.2,0.6,0.6,29,0,0.6,0
2012/7/1,3,1.2,0.6,0.6,0.6,27,0,0.6,0.6
2012/8/1,2.6,1.6,0.6,0.6,0.6,29,0,0,0
2012/9/1,2.6,1.6,0,0.6,0.6,44,0,0,0
2012/10/1,3,1.6,1.2,0.6,0.6,46,0,0,0
2012/11/1,3,1.6,0,0.6,0.6,43,0,0,0
2012/12/1,3,1.6,0.6,0.6,0.6,53,0,0.6,0
2013/1/1,3,1.6,0.6,0.6,0.6,51,0,0.6,0.6
2013/2/1,2.6,1.6,0,0.6,0.6,41,0,0,0.6
2013/3/1,2.6,1,0.6,0.6,0.6,40,0,0.6,0
2013/4/1,3,1.6,1.2,0.6,0.6,36,0,0.6,0.6
2013/5/1,3,1.6,1.2,0.6,0.6,39,0,0.6,0
2013/6/1,3,1.6,0.6,0.6,0.6,32,0,0.6,0
2013/7/1,3,1,1.2,0.6,0.6,34,0,0.6,0
2013/8/1,3,1,0.6,0.6,0.6,31,0,0.6,0
2013/9/1,3,1.6,0.6,0.6,0.6,31,0,0.6,0
2013/10/1,4,1.6,1.2,0.6,0.6,35,0,0.6,0
2013/11/1,4,1.6,1.2,0.6,0.6,33,0,0.6,0
2013/12/1,3,1.6,1.2,0.6,0.6,36,0,0.6,0
2014/1/1,4,1,1.2,0.6,0.6,44,0,0.6,0
2014/2/1,3,1.6,1.2,0.6,0.6,34,0,0.6,0
2014/3/1,4,1,0.6,0.6,0.6,35,0,0,0.6
2014/4/1,3,1.6,0,0.6,0.6,37,0,0.6,0.6
2014/5/1,4,1.6,1.2,0.6,0.6,40,0,0,0
2014/6/1,4,1.6,0.6,0.6,0.6,35,0,0.6,0
2014/7/1,3,1.6,0.6,0.6,0.6,35,0,0,0.6
2014/8/1,3,1.6,1.2,0.6,0.6,35,0,0.6,0
2014/9/1,4,1,1.2,0.6,0.6,38,0,0.6,0.6
2014/10/1,4,1,1.2,0.6,0.6,36,0,0.6,0
2014/11/1,4,1.6,1.2,0.6,0.6,36,0,0,0
2014/12/1,3,1.6,1.2,0.6,0.6,36,0,0.6,0
2015/1/1,3,1.6,0.6,0.6,0.6,38,0,0.6,0.6
2015/2/1,3,1,1.2,0.6,0.6,36,0,0.6,0
2015/3/1,4,1,1.2,0.6,1,37,0,0.6,0
2015/4/1,4,1.6,0.6,0.6,0.6,37,0,0.6,0
2015/5/1,7,1.6,1.2,0.6,0.6,37,0,0.6,0
2015/6/1,6,1.6,1.6,0.6,0.6,33,0,0.6,0
2015/7/1,5,1.6,1.2,0.6,1,34,0,0.6,0
2015/8/1,4,1,1.2,0.6,1,34,0,0.6,0.6
2015/9/1,4,1.6,1.2,0.6,0.6,36,0,0.6,0.6
2015/10/1,4,1.6,1.2,0.6,0.6,35,0,0.6,0
2015/11/1,5,1.6,0.6,0.6,0.6,35,0,0.6,0.6
2015/12/1,5,1.6,1.2,0.6,0.6,37,0,0.6,0.6
2016/1/1,4,1.6,1.2,0.6,0.6,41,0,0.6,0
2016/2/1,5,1.6,0.6,0.6,0.6,33,0,0,0
2016/3/1,5,1,1.2,0.6,1,39,0,0.6,0.6
2016/4/1,5,1.6,1.2,0.6,1,39,0,0.6,0
2016/5/1,6,1.6,1.2,0.6,0.6,60,0,0.6,0.6
2016/6/1,6,1,1.2,0.6,0.6,33,0,0.6,0.6
2016/7/1,6,1.6,0.6,0.6,0.6,32,0,0.6,0.6
2016/8/1,6,1.6,1.2,0.6,0.6,33,0,0.6,0.6
2016/9/1,5,1,1.2,0.6,0.6,32,0,0.6,0.6
2016/10/1,7,1.6,0.6,0.6,1,36,0,0.6,0
2016/11/1,8,1.6,1.2,0.6,0.6,34,0,0.6,0
2016/12/1,8,1,0.6,0.6,0.6,36,0,0.6,0
2017/1/1,7,1.6,1.2,0.6,0.6,40,0,0.6,0
2017/2/1,7,1.6,0.6,0.6,0.6,38,0,0.6,0
2017/3/1,7,1,1.2,0.6,1,41,0,0.6,0
2017/4/1,8,1.6,1.2,0.6,1,34,0,0.6,0
2017/5/1,7,1.6,1.2,0.6,1,64,0,0.6,0.6
2017/6/1,8,1.6,1.2,0.6,1,36,0,0.6,0.6
2017/7/1,7,1.6,0.6,0.6,0.6,37,0,0.6,0
2017/8/1,7,1.6,0.6,0.6,0.6,37,0,0.6,0
2017/9/1,8,1.6,1.2,0.6,0.6,36,0,0.6,0
2017/10/1,7,1.6,0.6,0.6,0.6,36,0,0.6,0.6
2017/11/1,8,1.6,1.2,0.6,1,38,0,0.6,0.6
2017/12/1,8,1.6,0.6,0.6,0.6,38,0,0.6,0.6
2018/1/1,8,1.6,1.2,0.6,0.6,46,0,0.6,0.6
2018/2/1,7,1,1.2,0.6,1,32,0,0.6,0
2018/3/1,10,1.6,0.6,0.6,1,42,0,0.6,0
2018/4/1,10,1,0.6,0.6,1,39,0,0.6,0.6
2018/5/1,10,1.6,1.2,0.6,0.6,67,0,0.6,0.6
2018/6/1,11,1.6,0.6,0.6,0.6,39,0,0.6,0
2018/7/1,10,1.6,1.2,0.6,1,37,0,0.6,0.6
2018/8/1,11,1.6,1.2,0.6,1,39,0,0.6,0
2018/9/1,10,1,0.6,0.6,0.6,37,0,0.6,0
2018/10/1,12,1.6,0.6,0.6,1,42,0,0.6,0.6
2018/11/1,12,1.6,0.6,0.6,0.6,39,0,0.6,0
2018/12/1,11,1,0.6,0.6,1,45,0,0.6,0
2019/1/1,10,1.6,1.2,0.6,1,55,0,0.6,0
2019/2/1,10,1.6,1.2,0.6,1,37,0,0.6,0
2019/3/1,12,1.6,1.2,0.6,1,38,0,0.6,0
2019/4/1,11,1.6,0.6,0.6,1,43,0,0.6,0.6
2019/5/1,12,1.6,0.6,0.6,1,59,0,0.6,0.6
2019/6/1,12,1.6,0.6,0.6,1,38,0,0.6,0.6
2019/7/1,13,1.6,0.6,0.6,1,43,0,0.6,0
2019/8/1,13,2.6,1.2,0.6,1,41,0,0.6,0
2019/9/1,14,1,0.6,0.6,1,41,0,0.6,0.6
2019/10/1,14,1.6,0.6,0.6,1,43,0,0.6,0
2019/11/1,13,1.6,0.6,0.6,1,35.6,0,0.6,0
2019/12/1,15,1.6,0.6,0.6,1,41,0,0.6,0.6
2020/1/1,10,1.6,0.6,0.6,1,42,0,0.6,0
2020/2/1,10,1.6,0.6,0.6,1,79,0,0.6,0.6
2020/3/1,13,1.6,1.2,0.6,1,88,0,0.6,0.6
2020/4/1,13,1.6,0.6,0.6,1,105,0,0.6,0.6
2020/5/1,14,1.6,0.6,0.6,1,61,0,0.6,0.6
2020/6/1,15,1.6,1.2,0.6,1,54,0,0.6,0.6
2020/7/1,13,1.6,1.2,0.6,1,55,0,0.6,0.6
2020/8/1,13,1.6,0.6,0.6,1,47,0,0.6,0.6
2020/9/1,13,2.6,1.2,0.6,1,46,0,0.6,0
2020/10/1,12.6,1.6,0.6,0.6,1,41,0,0.6,0.6
2020/11/1,14,1.6,1.2,0.6,0.6,43,0,0.6,0.6
2020/12/1,15,1.6,0.6,0.6,1,45,0,0.6,0
2021/1/1,13,1.6,1.2,0.6,1,53,0,0.6,0.6
2021/2/1,12,2.6,1.2,0.6,0.6,44,0,0.6,0
2021/3/1,15,2.6,0.6,0.6,1,48,0,0.6,0.6
2021/4/1,14,1.6,0.6,0.6,1,45,0,0.6,0.6
2021/5/1,13,1.6,1.2,0.6,1,48,0,0.6,0.6
2021/6/1,13,1.6,0.6,0.6,1,65,0,0.6,0
2021/7/1,10,1.6,0,0.6,1,75,0,0.6,0.6
2021/8/1,12,1.6,1.2,0.6,1,49,0,0.6,0.6
2021/9/1,13,1.6,0.6,0.6,1,77,0,0.6,0.6
2021/10/1,12.6,1.6,1.2,0.6,1,52,0,0.6,0.6
2021/11/1,14,1.6,0.6,0.6,1,45,0,0.6,0.6
2021/12/1,14,1.6,0.6,0.6,1,49,0,0.6,0
